conversation,query,precision,recall,hit,expected,predicted
C1.md,"We need a solution for senior leadership.
The pool consists of CXOs, director-level postions; people with more than 15 years of experience.
Selection — comparing candidates against a leadership benchmark.
Perfect, that's what we need.",0.2,0.3333333333333333,1,"['Occupational Personality Questionnaire OPQ32r', 'OPQ Universal Competency Report 2.0', 'OPQ Leadership Report']","['Enterprise Leadership Report 2.0', 'Enterprise Leadership Report 1.0', 'OPQ Leadership Report', 'Verify - Deductive Reasoning', 'HiPo Assessment Report 2.0']"
C10.md,"We run a graduate management trainee scheme. We need a full battery — cognitive, personality, and situational judgement. All recent graduates.
But can you remove the OPQ32r and replace it with something shorter? Candidates complain it takes too long.
Drop the OPQ. Final list: Verify G+ and Graduate Scenarios.",0.2,0.5,1,"['SHL Verify Interactive G+', 'Graduate Scenarios']","['Graduate Scenarios', 'Graduate Scenarios Profile Report', 'Graduate Scenarios Narrative Report', 'Global Skills Development Report', 'Management Scenarios']"
C2.md,"I'm hiring a senior Rust engineer for high-performance networking infrastructure. What assessments should I use?
Yes, go ahead. Should I also add a cognitive test for this level?
That works. Thanks.",0.2,0.2,1,"['Smart Interview Live Coding', 'Linux Programming (General)', 'Networking and Implementation (New)', 'SHL Verify Interactive G+', 'Occupational Personality Questionnaire OPQ32r']","['Networking and Implementation (New)', 'HiPo Assessment Report 1.0', 'HiPo Assessment Report 2.0', 'ITIL (IT Infrastructure Library) (New)', 'Desktop Support (New)']"
C3.md,"We're screening 500 entry-level contact centre agents. Inbound calls, customer service focus. What should we use?
English.
US.
Is the Contact Center Call Simulation different from the Customer Service Phone Simulation?
Perfect — new simulation for volume, old solution for finalists. Confirmed.",0.4,0.5,1,"['SVAR Spoken English (US) (New)', 'Contact Center Call Simulation (New)', 'Entry Level Customer Serv - Retail & Contact Center', 'Customer Service Phone Simulation']","['Customer Service Phone Simulation', 'Contact Center Call Simulation (New)', 'Sales & Service Phone Solution', 'Customer Service Phone Solution', 'Sales & Service Phone Simulation']"
C4.md,"Hiring graduate financial analysts — final-year students, no work experience. We need numerical reasoning and a finance knowledge test.
Good. Can you also add a situational judgement element — work-context decision making for graduates?
That covers it. Numerical + Graduate Scenarios as first filter, domain tests for shortlisted candidates.",0.4,0.4,1,"['SHL Verify Interactive – Numerical Reasoning', 'Financial Accounting (New)', 'Basic Statistics (New)', 'Graduate Scenarios', 'Occupational Personality Questionnaire OPQ32r']","['Financial and Banking Services (New)', 'Graduate Scenarios', 'Graduate Scenarios Profile Report', 'Graduate Scenarios Narrative Report', 'Financial Accounting (New)']"
C5.md,"As part of our restructuring and annual talent audit, we need to re-skill our Sales organization. What solutions do you recommend?
What’s the difference between OPQ and OPQ MQ Sales Report?
Clear. We’ll use OPQ for everyone and add MQ only where we want motivators in the Sales Report; keeping the five solutions as our audit stack.",0.4,0.4,1,"['Global Skills Assessment', 'Global Skills Development Report', 'Occupational Personality Questionnaire OPQ32r', 'OPQ MQ Sales Report', 'Sales Transformation 2.0 - Individual Contributor']","['Sales & Service Phone Solution', 'Entry Level Sales Solution', 'OPQ MQ Sales Report', 'Global Skills Development Report', 'Sales Transformation 1.0 - Individual Contributor']"
C6.md,"We're hiring plant operators for a chemical facility. Safety is absolute top priority — reliability, procedure compliance, never cutting corners. What do you recommend?
What's the difference between the DSI and the Safety & Dependability 8.0?
We're industrial. The 8.0 bundle is the right fit. Confirmed.",0.2,0.5,1,"['Manufac. & Indust. - Safety & Dependability 8.0', 'Workplace Health and Safety (New)']","['Manufacturing & Industrial - Vigilance Focus 8.0', 'Manufac. & Indust. - Safety & Dependability 8.0', 'Manufacturing & Industrial - Essential Focus 8.0', 'Chemical Engineering (New)', 'Dependability and Safety Instrument (DSI)']"
C7.md,"We're hiring bilingual healthcare admin staff in South Texas — they handle patient records and need to be assessed in Spanish. HIPAA compliance is critical. What assessments work?
They're functionally bilingual — English fluent for written work. Go with the hybrid.
Are we legally required under HIPAA to test all staff who touch patient records? And does this SHL test satisfy that requirement?
Understood. Keep the shortlist as-is.",0.2,0.2,1,"['HIPAA (Security)', 'Medical Terminology (New)', 'Microsoft Word 365 - Essentials (New)', 'Dependability and Safety Instrument (DSI)', 'Occupational Personality Questionnaire OPQ32r']","['HIPAA (Security)', 'SVAR - Spoken Spanish (North American) (New)', 'Smart Interview On Demand', 'SVAR - Spoken Spanish (Castilian) (New)', 'SVAR - Spoken French (Canadian) (New)']"
C8.md,"I need to quickly screen admin assistants for Excel and Word daily.
In that case, I am OK with adding a simulation - we want to capture the capabilties.
That's good.",0.2,0.2,1,"['Microsoft Excel 365 (New)', 'Microsoft Word 365 (New)', 'MS Excel (New)', 'MS Word (New)', 'Occupational Personality Questionnaire OPQ32r']","['Microsoft Word 365 - Essentials (New)', 'Microsoft Word 365 (New)', 'Microsoft 365 (New)', 'Microsoft Excel 365 - Essentials (New)', 'MS Office Basic Computer Literacy (Sim) (New)']"
C9.md,"Here's the JD for an engineer we need to fill. Can you recommend an assessment battery?
>
> ""Senior Full-Stack Engineer — 5+ years across Core Java, Spring, REST API design, Angular, SQL/relational databases, AWS deployment, and Docker. Will own end-to-end microservice delivery, contribute to architectural decisions, and mentor mid-level engineers. Strong CI/CD and cloud-native experience required.""
Backend-leaning. Day-one priorities are Core Java and Spring; SQL is constant. Angular is occasional — they'd review frontend PRs but not own features.
Senior IC. They lead design on their own services but don't manage other engineers directly.
Add AWS and Docker. Drop REST — the API design signal will already come through in Spring and the live interview.
On Java — they'd be working on existing services, not greenfield. Is the Advanced level the right pick?
Do we really need Verify G+ on top of all the technical tests? Feels redundant.
Keep Verify G+. Locking it in.",0.0,0.0,0,"['Core Java (Advanced Level) (New)', 'Spring (New)', 'SQL (New)', 'Amazon Web Services (AWS) Development (New)', 'Docker (New)', 'SHL Verify Interactive G+', 'Occupational Personality Questionnaire OPQ32r']","['Java 8 (New)', 'Verify - Deductive Reasoning', 'AI Skills', 'Verify - General Ability Screen', 'Java Frameworks (New)']"
