assessment_id,entity_id,name,category,description,duration_minutes,job_levels,languages,remote,adaptive,url
A4302,4302,Global Skills Development Report,"['Ability & Aptitude', 'Assessment Exercises', 'Biodata & Situational Judgment', 'Competencies', 'Development & 360', 'Personality & Behavior']","This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their current skills. Participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills.",,"['Director', 'Entry-Level', 'Executive', 'General Population', 'Graduate', 'Manager', 'Mid-Professional', 'Front Line Manager', 'Supervisor']",[],True,False,https://www.shl.com/products/product-catalog/view/global-skills-development-report/
A3827,3827,.NET Framework 4.5,['Knowledge & Skills'],"The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security.",30.0,"['Professional Individual Contributor', 'Mid-Professional']",['English (USA)'],True,True,https://www.shl.com/products/product-catalog/view/net-framework-4-5/
A4094,4094,.NET MVC (New),['Knowledge & Skills'],"Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.",17.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/net-mvc-new/
A4099,4099,.NET MVVM (New),['Knowledge & Skills'],"Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.",5.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/net-mvvm-new/
A4018,4018,.NET WCF (New),['Knowledge & Skills'],"Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.",11.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/net-wcf-new/
A4016,4016,.NET WPF (New),['Knowledge & Skills'],"Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications.",9.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/net-wpf-new/
A4165,4165,.NET XAML (New),['Knowledge & Skills'],"Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.",5.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/net-xaml-new/
A4178,4178,Accounts Payable (New),['Knowledge & Skills'],"Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.",9.0,"['Entry-Level', 'Graduate', 'Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/accounts-payable-new/
A4187,4187,Accounts Payable Simulation (New),['Simulations'],Simulated data entry test that measures the ability to process payables and vendor invoices.,8.0,"['Entry-Level', 'Graduate', 'Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/
A4179,4179,Accounts Receivable (New),['Knowledge & Skills'],Multiple-choice test that measures the knowledge of processing receivables and invoices.,13.0,"['Entry-Level', 'Graduate', 'Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/accounts-receivable-new/
A4188,4188,Accounts Receivable Simulation (New),['Simulations'],Simulated data entry test that measures the ability to process receivables and invoices.,8.0,"['Entry-Level', 'Graduate', 'Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/
A4168,4168,ADO.NET (New),['Knowledge & Skills'],"Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.",10.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/ado-net-new/
A4019,4019,Adobe Experience Manager (New),['Knowledge & Skills'],"Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects.",17.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/adobe-experience-manager-new/
A3778,3778,Adobe Photoshop CC,['Knowledge & Skills'],"The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File Management, Interface, Layers, Painting and Drawing, Retouch and Enhancements, Selection, Text, and Web.",20.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,True,https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc/
A4069,4069,Aeronautical Engineering (New),['Knowledge & Skills'],"Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion.",10.0,"['Graduate', 'Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/aeronautical-engineering-new/
A4004,4004,Aerospace Engineering (New),['Knowledge & Skills'],"Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics.",10.0,"['Graduate', 'Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/aerospace-engineering-new/
A4223,4223,Agile Software Development,['Knowledge & Skills'],"Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and processes involved in agile software development.",7.0,['Graduate'],['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/agile-software-development/
A4159,4159,Agile Testing (New),['Knowledge & Skills'],"Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology.",13.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/agile-testing-new/
A4311,4311,AI Skills,['Personality & Behavior'],The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work.,16.0,['General Population'],['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/ai-skills/
A4028,4028,Amazon Web Services (AWS) Development (New),['Knowledge & Skills'],"Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability.",6.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/amazon-web-services-aws-development-new/
A4160,4160,Android Development (New),['Knowledge & Skills'],"Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components, security and testing.",7.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/android-development-new/
A4153,4153,Angular 6 (New),['Knowledge & Skills'],"Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with HTTP, typescript, routing and navigation.",11.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/angular-6-new/
A4021,4021,AngularJS (New),['Knowledge & Skills'],"Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing.",9.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/angularjs-new/
A4030,4030,Apache Hadoop (New),['Knowledge & Skills'],"Multi-choice test that measures the knowledge of basic concepts of Hadoop, commands, HDFS and MapReduce.",7.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/apache-hadoop-new/
A4011,4011,Apache Hadoop Extensions (New),['Knowledge & Skills'],"Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase.",9.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/apache-hadoop-extensions-new/
A4073,4073,Apache HBase (New),['Knowledge & Skills'],"Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration and administration.",5.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/apache-hbase-new/
A4075,4075,Apache Hive (New),['Knowledge & Skills'],"Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive query language.",5.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/apache-hive-new/
A4022,4022,Apache Kafka (New),['Knowledge & Skills'],"Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations.",6.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/apache-kafka-new/
A4115,4115,Apache Pig (New),['Knowledge & Skills'],"Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin.",6.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/apache-pig-new/
A4023,4023,Apache Spark (New),['Knowledge & Skills'],"Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation.",8.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/apache-spark-new/
A4017,4017,ASP .NET with C# (New),['Knowledge & Skills'],"Multi-choice test that measures the knowledge of .NET framework and controls, C# fundamentals, OOPs concepts and advanced topics such as data access components, state management and security services.",13.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/asp-net-with-c-new/
A3786,3786,ASP.NET 4.5,['Knowledge & Skills'],"The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role should pass this test. This test includes the following topics: .NET Framework, Client-Side Programming, Data Access, Enhanced Runtime Features, Portals, Services and Mobile, Security, Troubleshooting and Optimization, Web Applications, and Web Forms.",30.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,True,https://www.shl.com/products/product-catalog/view/asp-net-4-5/
A4219,4219,Assessment and Development Center Exercises,['Assessment Exercises'],"SHL offers a comprehensive range of Assessment and Development Centre exercise in digital format, for remote assessment through our Virtual Assessment and Development Centre platform.

We offer a wide range of exercise types including group exercise, role plays, analysis presentations and written exercises.

Exercises are available across a wide range of job levels and industry contexts.

Contact SHL to find out more.",,"['Director', 'Entry-Level', 'Executive', 'Front Line Manager', 'General Population', 'Graduate', 'Manager', 'Mid-Professional', 'Professional Individual Contributor', 'Supervisor']","['English International', 'English (USA)']",True,False,https://www.shl.com/products/product-catalog/view/assessment-and-development-center-exercises/
A3980,3980,Automata - Fix (New),['Simulations'],"A simulated compiler integrated test to measure debugging skills in C, C++ and Java. The test checks the ability to fix logical or syntactical errors and to reuse an existing code.

 
Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",20.0,['Mid-Professional'],['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/automata-fix-new/
A3981,3981,Automata - SQL (New),['Simulations'],"A simulated query writing test that measures the ability to write SQL queries to perform DDL, DML and DCL tasks.",30.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/automata-sql-new/
A3984,3984,Automata (New),['Simulations'],"An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems. 
 
Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",45.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/automata-new/
A3982,3982,Automata Data Science (New),['Simulations'],A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,60.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/automata-data-science-new/
A3983,3983,Automata Data Science Pro (New),['Simulations'],A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,60.0,"['Professional Individual Contributor', 'Mid-Professional']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/automata-data-science-pro-new/
A4222,4222,Automata Front End,['Simulations'],"Simulation based test that measures the front-end development capabilities using HTML, CSS, and
JavaScript. The candidate is provided with 3 different sections to code in HTML, CSS and JavaScript respectively and a separate output section to view the output. This simulation is then manually scored.",30.0,"['Entry-Level', 'Graduate', 'Mid-Professional', 'Professional Individual Contributor', 'Manager']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/automata-front-end/
A3985,3985,Automata Pro (New),['Simulations'],"An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems. 
 
Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",60.0,"['Mid-Professional', 'Professional Individual Contributor']",['English (USA)'],True,False,https://www.shl.com/products/product-catalog/view/automata-pro-new/
